fecha_primeros_sintomas,Casos,Total
2020-11-22,recuperados,516638
2020-11-23,recuperados,517956
2020-11-24,recuperados,519309
2020-11-25,recuperados,520440
2020-11-26,recuperados,521469
2020-11-27,recuperados,523060
2020-11-28,recuperados,524503
2020-11-29,recuperados,525916
2020-11-30,recuperados,527369
2020-12-01,recuperados,528859
2020-12-02,recuperados,529973
2020-12-03,recuperados,531044
2020-12-04,recuperados,532755
2020-12-05,recuperados,534278
2020-12-06,recuperados,535734
2020-12-07,recuperados,537166
2020-12-08,recuperados,538612
2020-12-09,recuperados,539780
2020-12-10,recuperados,540825
2020-12-11,recuperados,542617
2020-12-12,recuperados,544398
2020-12-13,recuperados,546139
2020-12-14,recuperados,547834
2020-12-15,recuperados,549536
2020-12-16,recuperados,550935
2020-12-17,recuperados,552163
2020-12-18,recuperados,554223
2020-12-19,recuperados,555837
2020-12-20,recuperados,557804
2020-12-21,recuperados,559708
2020-12-22,recuperados,561639
2020-12-23,recuperados,563323
2020-12-24,recuperados,564869
2020-12-25,recuperados,567280
2020-12-26,recuperados,569511
2020-12-27,recuperados,571604
2020-12-28,recuperados,573626
2020-12-29,recuperados,575711
2020-12-30,recuperados,577520
2020-12-31,recuperados,579285
2021-01-01,recuperados,582024
2021-01-02,recuperados,584475
2021-01-03,recuperados,586885
2021-01-04,recuperados,589023
2021-01-05,recuperados,591053
2021-01-06,recuperados,593536
2021-01-07,recuperados,596016
2021-01-08,recuperados,599806
2021-01-09,recuperados,602981
2021-01-10,recuperados,606116
2021-01-11,recuperados,608779
2021-01-12,recuperados,611529
2021-01-13,recuperados,614626
2021-01-14,recuperados,617664
2021-01-15,recuperados,622608
2021-01-16,recuperados,626854
2021-01-17,recuperados,631108
2021-01-18,recuperados,635194
2021-01-19,recuperados,639366
2021-01-20,recuperados,642805
2021-01-21,recuperados,645777
2021-01-22,recuperados,650488
2021-01-23,recuperados,654691
2021-01-24,recuperados,658788
2021-01-25,recuperados,662796
2021-01-26,recuperados,667044
2021-01-27,recuperados,670524
